id;name;code;level;parent_id
3011135;شهر کرج;3011135;5;3001981
3011140;شهر مشکین دشت;3011140;5;3002827
3010247;شهر چغادک;3010247;5;3001176
3010268;شهر بردخون;3010268;5;3001192
3010272;شهر بنک;3010272;5;3001195
3010232;شهر بدره;3010232;5;3001165
3010236;شهر موسیان;3010236;5;3001168
3010170;شهر میمه;3010170;5;3001133
3010179;شهر فریدونشهر;3010179;5;3001137
3010181;شهر ابریشم;3010181;5;3001138
3010186;شهر پیربکران;3010186;5;3001139
3010191;شهر جوشقان وکامو;3010191;5;3001143
3022945;شهر بلوک;3022945;5;3001646
3010734;شهر زرینه;3010734;5;3001599
3010700;شهر سگزآباد;3010700;5;3001567
3010624;شهر خنج;3010624;5;3001498
3010817;شهر نودشه;3010817;5;3001677
3010839;شهر سرمست;3010839;5;3001700
3023095;شهر لنده;3023095;5;3002783
3010934;شهر ازنا;3010934;5;3001790
3010039;شهر یامچی;3010039;5;3001026
3010053;شهر ترکمانچای;3010053;5;3001037
3010044;شهر خواجه;3010044;5;3001028
3010046;شهر نظرکهریزی;3010046;5;3001030
3023068;شهر تیمورلو;3023068;5;3001002
3010009;شهر تیکمه داش;3010009;5;3001008
3010014;شهر خسروشاه;3010014;5;3001011
3010025;شهر شبستر;3010025;5;3001018
3010080;شهر قطور;3010080;5;3001066
3010075;شهر خوی;3010075;5;3001063
3010114;شهر رضی;3010114;5;3001101
3022986;شهر سوق;3022986;5;3002765
3010798;شهر ماهان;3010798;5;3001655
3010801;شهر کوهبنان;3010801;5;3001658
3010811;شهر نرماشیر;3010811;5;3001671
3010842;شهر لیکک;3010842;5;3001703
3010938;شهر بروجرد;3010938;5;3001795
3010943;شهر سپیددشت;3010943;5;3001800
3010843;شهر مادوان;3010843;5;3001705
3010850;شهر دهدشت;3010850;5;3001711
3010852;شهر قلعه رئیسی;3010852;5;3001712
3010799;شهر محی آباد;3010799;5;3001655
3010814;شهر حمیل;3010814;5;3001674
3010823;شهر گهواره;3010823;5;3001683
3010826;شهر سرپل ذهاب;3010826;5;3001686
3010962;شهر گزنک;3010962;5;3001819
3010968;شهر خوش رود پی;3010968;5;3001825
3010947;شهر هفت چشمه;3010947;5;3001804
3011004;شهر بلده;3011004;5;3001859
3011001;شهر ایزدشهر;3011001;5;3001858
3010983;شهر کلاردشت;3010983;5;3001838
3010153;شهر عسگران;3010153;5;3001124
3010159;شهر خوانسار;3010159;5;3001128
3010222;شهر خور;3010222;5;3001155
3010160;شهر دهاقان;3010160;5;3001129
3010121;شهر نیر;3010121;5;3001107
3010127;شهر ابوزید آباد;3010127;5;3001112
3010409;شهر لطف آباد;3010409;5;3001304
3010386;شهر همت آباد;3010386;5;3001280
3010387;شهر تربت جام;3010387;5;3001281
3010280;شهر پاکدشت;3010280;5;3001201
3010288;شهر کیلان;3010288;5;3001206
3023005;شهر ابوحمیظه;3023005;5;3001385
3010163;شهر سمیرم;3010163;5;3001130
3022842;شهر اسلام آباد;3022842;5;3002775
3010111;شهر گرمی;3010111;5;3001097
3010096;شهر باروق;3010096;5;3001080
3010095;شهر میاندوآب;3010095;5;3001079
3010099;شهر محمدیار;3010099;5;3001083
3010071;شهر تکاب;3010071;5;3001057
3010218;شهر نطنز;3010218;5;3001153
3011141;شهر تنکمان;3011141;5;3001982
3010225;شهر سراب باغ;3010225;5;3001157
3010246;شهر بوشهر;3010246;5;3001176
3010238;شهر سرابله;3010238;5;3001169
3010205;شهر طالخونچه;3010205;5;3001147
3010300;شهر اندیشه;3010300;5;3001216
3010302;شهر شاهدشهر;3010302;5;3001216
3010355;شهر اسدیه;3010355;5;3001255
3010356;شهر طبس مسینا;3010356;5;3001256
3010472;شهر حسینیه;3010472;5;3001364
3022815;شهر چم گلک;3022815;5;3001363
3023082;شهر حمیدیه;3023082;5;3002757
3010418;شهر سرخس;3010418;5;3001314
3010422;شهر سفیدسنگ;3010422;5;3001317
3011142;شهر نظرآباد;3011142;5;3001983
3010261;شهر آبپخش;3010261;5;3001187
3010255;شهر دالکی;3010255;5;3001182
